dateymd,state,confirmed,deceased,recovered,confirmed_prev,confirmed_diff,confirmed_perc,confirmed_cum,confirmed_cum_prev,confirmed_cum_diff,confirmed_cum_perc,deceased_prev,deceased_diff,deceased_perc,deceased_cum,deceased_cum_prev,deceased_cum_diff,deceased_cum_perc,recovered_prev,recovered_diff,recovered_perc,recovered_cum,recovered_cum_prev,recovered_cum_diff,recovered_cum_perc,active,active_cum,active_prev,active_diff,active_perc,active_cum_prev,active_cum_diff,active_cum_perc
2021-05-28,Andaman and Nicobar Islands,19,4,39,16,3,18.75,6932,6913,19,0.27,1,3,300.0,113,109,4,3.67,18,21,116.67,6621,6582,39,0.59,-24,198,-3,-21,0.0,222,-24,-10.81
2021-05-28,Andhra Pradesh,14429,103,20746,16167,-1738,-10.75,1657986,1643557,14429,0.88,104,-1,-0.96,10634,10531,103,0.98,21385,-639,-2.99,1466990,1446244,20746,1.43,-6420,180362,-5322,-1098,0.0,186782,-6420,-3.44
2021-05-28,Arunachal Pradesh,0,0,0,444,-444,-100.0,25821,25821,0,0.0,2,-2,-100.0,109,109,0,0.0,254,-254,-100.0,22019,22019,0,0.0,0,3693,188,-188,-100.0,3693,0,0.0
2021-05-28,Assam,0,0,0,5704,-5704,-100.0,392472,392472,0,0.0,83,-83,-100.0,3093,3093,0,0.0,4784,-4784,-100.0,334418,334418,0,0.0,0,54961,837,-837,-100.0,54961,0,0.0
2021-05-28,Bihar,1785,61,5362,2568,-783,-30.49,702682,700897,1785,0.25,98,-37,-37.76,5004,4943,61,1.23,5015,347,6.92,672868,667506,5362,0.8,-3638,24810,-2545,-1093,0.0,28448,-3638,-12.79
2021-05-28,Chandigarh,161,6,526,200,-39,-19.5,59577,59416,161,0.27,7,-1,-14.29,735,729,6,0.82,637,-111,-17.43,56084,55558,526,0.95,-371,2758,-444,73,0.0,3129,-371,-11.86
2021-05-28,Chhattisgarh,0,0,0,2824,-2824,-100.0,962368,962368,0,0.0,69,-69,-100.0,12848,12848,0,0.0,6815,-6815,-100.0,900100,900100,0,0.0,0,49420,-4060,4060,0.0,49420,0,0.0
2021-05-28,Dadra and Nagar Haveli and Daman and Diu,235,0,339,11,224,2036.36,10058,9823,235,2.39,0,0,0.0,4,4,0,0.0,27,312,1155.56,9734,9395,339,3.61,-104,320,-16,-88,0.0,424,-104,-24.53
2021-05-28,Delhi,1141,139,2799,1072,69,6.44,1423690,1422549,1141,0.08,117,22,18.8,23951,23812,139,0.58,3725,-926,-24.86,1385158,1382359,2799,0.2,-1797,14581,-2770,973,0.0,16378,-1797,-10.97
2021-05-28,Goa,1055,32,1396,1504,-449,-29.85,153456,152401,1055,0.69,39,-7,-17.95,2570,2538,32,1.26,1557,-161,-10.34,135560,134164,1396,1.04,-373,15326,-92,-281,0.0,15699,-373,-2.38
2021-05-28,Gujarat,2521,27,7965,2869,-348,-12.13,803386,800865,2521,0.31,33,-6,-18.18,9760,9733,27,0.28,9302,-1337,-14.37,750016,742051,7965,1.07,-5471,43610,-6466,995,0.0,49081,-5471,-11.15
2021-05-28,Haryana,2007,96,5025,2322,-315,-13.57,752069,750062,2007,0.27,98,-2,-2.04,8035,7939,96,1.21,5679,-654,-11.52,718958,713933,5025,0.7,-3114,25076,-3455,341,0.0,28190,-3114,-11.05
2021-05-28,Himachal Pradesh,1523,64,3150,1472,51,3.46,187342,185819,1523,0.82,59,5,8.47,3040,2976,64,2.15,3409,-259,-7.6,165787,162637,3150,1.94,-1691,18515,-1996,305,0.0,20206,-1691,-8.37
2021-05-28,India,165186,3460,273806,186075,-20889,-11.23,27718405,27553219,165186,0.6,3659,-199,-5.44,322385,318925,3460,1.08,271002,2804,1.03,25170550,24896744,273806,1.1,-112080,2225470,-88586,-23494,0.0,2337550,-112080,-4.79
2021-05-28,Jammu and Kashmir,2803,56,3637,2769,34,1.23,284431,281628,2803,1.0,37,19,51.35,3795,3739,56,1.5,4352,-715,-16.43,239254,235617,3637,1.54,-890,41382,-1620,730,0.0,42272,-890,-2.11
2021-05-28,Jharkhand,687,20,1982,695,-8,-1.15,335391,334704,687,0.21,16,4,25.0,4946,4926,20,0.41,1778,204,11.47,318690,316708,1982,0.63,-1315,11755,-1099,-216,0.0,13070,-1315,-10.06
2021-05-28,Karnataka,22823,401,52252,24214,-1391,-5.74,2546807,2523984,22823,0.9,476,-75,-15.76,27812,27411,401,1.46,31459,20793,66.1,2146609,2094357,52252,2.49,-29830,372386,-7721,-22109,0.0,402216,-29830,-7.42
2021-05-28,Kerala,22318,194,26270,24166,-1848,-7.65,2470873,2448555,22318,0.91,181,13,7.18,8258,8064,194,2.41,30539,-4269,-13.98,2224400,2198130,26270,1.2,-4146,238215,-6554,2408,0.0,242361,-4146,-1.71
